#{"t_start": 1773725816.4837217, "env_id": "None"}
r,l,t
-6072.850301,300,272.247401
-5781.925999,300,273.499602
-5838.014337,300,273.682216
-6273.308466,300,273.841215
-5298.256188,300,274.01662
-4896.868449,300,274.190527
-4296.779718,300,274.381858
-8630.6349,300,274.569125
-6130.680865,300,275.782223
-5654.51802,300,275.953755
-8894.629798,300,276.108203
-5678.50315,300,276.270763
-4864.836977,300,276.423151
-5285.468498,300,276.576999
-5861.514347,300,276.742868
-3941.37767,240,277.887597
-5431.387556,300,278.06215
-1811.293089,210,278.168579
-4950.57259,300,278.33186
-8832.893279,300,278.482087
-5288.503841,300,278.633871
-4056.713603,300,278.798947
-6222.760826,300,279.96357
-7273.946352,300,280.140954
-6071.385133,300,280.29627
-3880.302755,300,280.460079
-7390.654813,300,280.611528
-4461.433684,300,280.765811
-6674.6522,300,280.934073
-4075.978855,300,282.088777
-5143.897586,300,282.258236
-1149.193999,134,282.327109
-6399.294569,300,282.492274
-5876.57048,300,282.642508
-6018.73652,300,282.795396
-5271.875662,300,282.959164
-10539.674957,300,284.133911
-7506.931688,300,284.316995
-5398.581461,300,284.515805
-245.387782,40,284.537816
-4495.506346,300,284.727573
-4278.217262,212,284.869949
-4670.11007,300,285.049442
-7012.707866,300,285.215447
-4955.940586,300,286.378171
-7889.353807,300,286.556704
-2328.105324,250,286.69608
-9868.449206,300,286.849871
-3631.235178,300,286.999876
-5887.844788,300,287.184591
-4652.189862,300,287.358669
-7136.030292,300,288.594342
-9925.767422,300,288.776497
-6936.74783,300,288.945582
-6903.643053,300,289.096191
-5194.283044,300,289.251372
-7284.427496,300,289.416459
-4146.024107,300,289.577538
-8042.812843,300,290.751744
-10076.898141,300,290.928217
-7124.139026,300,291.091404
-3755.3046,300,291.24329
-8049.910081,300,291.392812
-3961.596413,300,291.555331
-8751.789337,300,291.707684
-4550.874353,300,292.873044
-4656.77795,300,293.053052
-4150.73137,300,293.215848
-4518.198705,300,293.365744
-6597.530387,300,293.516508
-7056.61003,300,293.683941
-3785.452051,300,293.837583
-3914.557413,300,294.996394
-5689.420251,300,295.172361
-7112.175903,300,295.326193
-7412.116514,300,295.47472
-3564.832821,300,295.639679
-8565.705275,300,295.792328
-3638.322269,300,295.941649
-7512.41744,300,297.141155
-8851.622668,300,297.319594
-1790.469875,161,297.399955
-3564.331558,300,297.550216
-6201.339344,300,297.701661
